Stock_Name,Ticker,Type,Unit,Model,Folds,MAPE (mean ± std),MAE (mean ± std),RMSE (mean ± std),MAPE_mean,MAPE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
SET,^SET.BK,Index,points,ARIMA,7,2.16 ± 1.44,25.1961 ± 16.4508,26.9985 ± 15.8049,2.1584,1.4399,25.1961,16.4508,26.9985,15.8049
SET,^SET.BK,Index,points,LSTM,7,2.3 ± 1.26,27.1042 ± 15.3264,28.7604 ± 15.1091,2.3047,1.2608,27.1042,15.3264,28.7604,15.1091
SET,^SET.BK,Index,points,RNN,7,3.45 ± 3.95,39.8387 ± 44.9475,43.5942 ± 48.1994,3.4543,3.9505,39.8387,44.9475,43.5942,48.1994
SET,^SET.BK,Index,points,ANN,7,19.68 ± 3.58,229.7375 ± 39.8294,234.2734 ± 41.0387,19.6782,3.5784,229.7375,39.8294,234.2734,41.0387
TFG,TFG.BK,Stock,THB,CNN,7,3.44 ± 1.17,0.1759 ± 0.0627,0.1966 ± 0.0531,3.4442,1.1708,0.1759,0.0627,0.1966,0.0531
TFG,TFG.BK,Stock,THB,ARIMA,7,3.46 ± 1.27,0.1761 ± 0.064,0.1885 ± 0.0627,3.4599,1.2694,0.1761,0.064,0.1885,0.0627
TFG,TFG.BK,Stock,THB,RNN,7,3.8 ± 1.69,0.1928 ± 0.0857,0.2111 ± 0.089,3.8008,1.6896,0.1928,0.0857,0.2111,0.089
TFG,TFG.BK,Stock,THB,Random Forest,7,3.85 ± 2.41,0.1948 ± 0.1219,0.2068 ± 0.1215,3.8504,2.4143,0.1948,0.1219,0.2068,0.1215
TFG,TFG.BK,Stock,THB,XGBoost,7,3.99 ± 2.27,0.2009 ± 0.111,0.2188 ± 0.1149,3.9879,2.2724,0.2009,0.111,0.2188,0.1149
TFG,TFG.BK,Stock,THB,LSTM,7,4.36 ± 1.67,0.2238 ± 0.0864,0.2425 ± 0.0818,4.3637,1.6736,0.2238,0.0864,0.2425,0.0818
TFG,TFG.BK,Stock,THB,ANN,7,16.73 ± 5.45,0.852 ± 0.281,0.8782 ± 0.2869,16.7343,5.4468,0.852,0.281,0.8782,0.2869
TLHPF,TLHPF.BK,Stock,THB,ARIMA,6,9.04 ± 9.62,0.3256 ± 0.4018,0.3695 ± 0.4088,9.0361,9.6209,0.3256,0.4018,0.3695,0.4088
TLHPF,TLHPF.BK,Stock,THB,Random Forest,6,9.16 ± 10.7,0.3352 ± 0.4553,0.3619 ± 0.4641,9.156,10.7018,0.3352,0.4553,0.3619,0.4641
TLHPF,TLHPF.BK,Stock,THB,XGBoost,6,9.93 ± 10.66,0.3619 ± 0.453,0.3981 ± 0.4592,9.9261,10.6586,0.3619,0.453,0.3981,0.4592
TLHPF,TLHPF.BK,Stock,THB,CNN,6,12.08 ± 10.73,0.4513 ± 0.4833,0.4867 ± 0.4968,12.0831,10.7328,0.4513,0.4833,0.4867,0.4968
TLHPF,TLHPF.BK,Stock,THB,RNN,6,12.21 ± 9.99,0.4267 ± 0.4081,0.468 ± 0.4173,12.2096,9.9933,0.4267,0.4081,0.468,0.4173
TLHPF,TLHPF.BK,Stock,THB,ANN,6,12.24 ± 6.28,0.3894 ± 0.2317,0.4165 ± 0.2397,12.2379,6.28,0.3894,0.2317,0.4165,0.2397
TLHPF,TLHPF.BK,Stock,THB,LSTM,6,20.04 ± 19.61,0.7767 ± 0.931,0.8454 ± 1.0227,20.0405,19.6058,0.7767,0.931,0.8454,1.0227
