Ticker,Composite_Z,Classification,Name,Company Name,Industry,SET ESG Ratings 
CENTEL.BK,-0.4588209643310265,Exit Point,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,Services,AAA
CEYE.BK,-0.1979124221708888,Exit Point,CEYE,,,
CFARM.BK,0.6545497370159332,Neutral,CFARM,,,
CFRESH.BK,-0.6548695567421233,Exit Point,CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,A
CGD.BK,-0.2510830965689866,Exit Point,CGD,,,
CGH.BK,-0.1317686290738775,Exit Point,CGH,,,
CH.BK,-0.091097764604337,Neutral,CH,,,
CHAO.BK,0.1742811760974278,Neutral,CHAO,,,
CHARAN.BK,-0.1118551885564296,Exit Point,CHARAN,,,
CHASE.BK,0.1308004687110672,Neutral,CHASE,CHASE ASIA PUBLIC COMPANY LIMITED,Financials,A
CHAYO.BK,-0.2607859678002085,Exit Point,CHAYO,,,
CHEWA.BK,0.0120452402803667,Neutral,CHEWA,,,
CHG.BK,-0.2541327223788265,Exit Point,CHG,,,
CHIC.BK,-0.1541235988377736,Exit Point,CHIC,,,
CHO.BK,0.1114900227044478,Neutral,CHO,,,
CHOTI.BK,0.2420852565808617,Neutral,CHOTI,,,
CHOW.BK,-0.5038304596400958,Exit Point,CHOW,,,
CI.BK,0.2736535877300766,Neutral,CI,,,
CIG.BK,0.7103591643590492,Neutral,CIG,,,
CIMBT.BK,0.4985862067283811,Neutral,CIMBT,,,
CITY.BK,0.0382528621419933,Neutral,CITY,,,
CIVIL.BK,-0.4525286329251696,Exit Point,CIVIL,,,
CK.BK,-0.0533936231579155,Neutral,CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,Property & Construction,AA
CKP.BK,0.1163883392497792,Neutral,CKP,CK POWER PUBLIC COMPANY LIMITED,Resources,AAA
CM.BK,-0.6846692727349504,Exit Point,CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,Agro & Food Industry,A
CMAN.BK,0.3509578003329725,Neutral,CMAN,,,
CMC.BK,-0.1637023070688596,Exit Point,CMC,,,
CMO.BK,0.297000191557915,Neutral,CMO,,,
CMR.BK,-0.9277566403416724,Exit Point,CMR,,,
CNT.BK,0.314797085461015,Neutral,CNT,,,
COCOCO.BK,-0.6123084406805296,Exit Point,COCOCO,,,
COLOR.BK,0.0509256395320662,Neutral,COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,Industrials,A
COM7.BK,-0.1316031727017957,Exit Point,COM7,COM7 PUBLIC COMPANY LIMITED,Services,AA
COMAN.BK,0.2424708297510996,Neutral,COMAN,,,
CPALL.BK,0.0433670412770205,Neutral,CPALL,CP ALL PUBLIC COMPANY LIMITED,Services,AAA
CPANEL.BK,-0.1629887539766785,Exit Point,CPANEL,,,
CPAXT.BK,-0.1957260242804214,Exit Point,CPAXT,CP AXTRA PUBLIC COMPANY LIMITED,Services,AA**
CPF.BK,0.6485842068245073,Neutral,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,Agro & Food Industry,AAA
CPH.BK,0.0109711255642795,Neutral,CPH,,,
CPI.BK,-0.171100276247254,Exit Point,CPI,,,
CPL.BK,0.0571088145574924,Neutral,CPL,,,
CPN.BK,-0.1479902622404008,Exit Point,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,Property & Construction,AAA
CPNCG.BK,-0.1037725278669268,Exit Point,CPNCG,,,
CPNREIT.BK,0.4793371827664557,Neutral,CPNREIT,,,
CPR.BK,0.2356518634709001,Neutral,CPR,,,
CPT.BK,0.3122283950873666,Neutral,CPT,,,
CPTREIT.BK,0.1826622110476529,Neutral,CPTREIT,,,
CPW.BK,-0.0306627149101712,Neutral,CPW,,,
CRANE.BK,0.3076859202198956,Neutral,CRANE,,,
CRC.BK,-0.5876796196926352,Exit Point,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,Services,AA
CRD.BK,0.2235964619522001,Neutral,CRD,,,
CREDIT.BK,0.365573944946282,Neutral,CREDIT,,,
CSC.BK,0.1578146236987775,Neutral,CSC,,,
CSP.BK,0.0713909206467883,Neutral,CSP,,,
CSR.BK,-0.2132782984023909,Exit Point,CSR,,,
CSS.BK,0.1566058632486469,Neutral,CSS,,,
CTARAF.BK,0.6665695980315466,Neutral,CTARAF,,,
CTW.BK,0.0622022139942179,Neutral,CTW,,,
CV.BK,0.016731010582744,Neutral,CV,,,
CWT.BK,0.2466444340351885,Neutral,CWT,,,
D.BK,-0.6688766815306082,Exit Point,D,,,
DCC.BK,0.1113465441047005,Neutral,DCC,,,
DCON.BK,-0.0052988497451914,Neutral,DCON,,,
DDD.BK,-0.0815663065568677,Neutral,DDD,,,
DELTA.BK,0.2134120569949569,Neutral,DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,Technology,A
DEMCO.BK,-0.7982593312720896,Exit Point,DEMCO,DEMCO PUBLIC COMPANY LIMITED,Resources,BBB
DEXON.BK,0.4254342973318563,Neutral,DEXON,,,
DHOUSE.BK,0.1750469782771088,Neutral,DHOUSE,,,
DIF.BK,-0.0084828416796933,Neutral,DIF,,,
DIMET.BK,0.1727962658692186,Neutral,DIMET,,,
DITTO.BK,-0.1125121907056106,Exit Point,DITTO,DITTO (THAILAND) PUBLIC COMPANY LIMITED,Technology,AAA
DMT.BK,-0.0816826416238078,Neutral,DMT,DON MUANG TOLLWAY PUBLIC COMPANY LIMITED,Services,AA
DOD.BK,0.3479216886476811,Neutral,DOD,,,
DOHOME.BK,-0.5862434447414382,Exit Point,DOHOME,,,
DPAINT.BK,-0.2251344289442636,Exit Point,DPAINT,,,
DREIT.BK,-0.1009396590520223,Exit Point,DREIT,,,
DRT.BK,-1.1125997023776246,Exit Point,DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,Property & Construction,AA
DTCENT.BK,-0.4683667904512211,Exit Point,DTCENT,,,
DTCI.BK,0.3151905749038738,Neutral,DTCI,,,
DUSIT.BK,-0.4148907627514254,Exit Point,DUSIT,,,
DV8.BK,6.600627369481414,Max Long,DV8,,,
EA.BK,0.6383366329130636,Neutral,EA,,,
EASON.BK,0.6241923918267763,Neutral,EASON,,,
EASTW.BK,-0.5180987534719128,Exit Point,EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PUBLIC COMPANY LIMITED,Resources,AA
ECF.BK,-0.3337535500607544,Exit Point,ECF,,,
EE.BK,0.419832962632334,Neutral,EE,,,
EFORL.BK,-0.1308667869770245,Exit Point,EFORL,,,
EGATIF.BK,0.2782134855134845,Neutral,EGATIF,,,
EGCO.BK,0.160041907542935,Neutral,EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,Resources,AA
EKH.BK,0.1626807694462143,Neutral,EKH,,,
EMC.BK,-1.428451218415644,Exit Point,EMC,,,
EP.BK,-0.14041227357694,Exit Point,EP,,,
EPG.BK,-0.2351787381073432,Exit Point,EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,Property & Construction,AA
ERW.BK,-0.5997495431298101,Exit Point,ERW,,,
ESTAR.BK,0.3168739071593244,Neutral,ESTAR,,,
ETC.BK,0.0191676776546327,Neutral,ETC,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,Resources,AA
